ID,Collection,Ceph,leg,Weight,Rest_slope,Act_Slope,Volume,Resting,Active,Scope,Vol_speed_mean,Vol_speed_max,Forced_speed_mean,Forced_speed_max,per_vol,per_mx,trial,Found_female,Time_find,Order,Num_rivals,Distance,Est_paternity,Died,comment
SV15,Second,15,41,0.0329,-0.001339,-0.005043,0.009621,1.29E-05,4.85E-05,3.56E-05,,,,,,,,,,,,,,Yes,Died before trial
SV16,Second,9,24,0.0089,-0.002309,-0.003455,0.009621,2.22E-05,3.32E-05,1.10E-05,12.78342478,25.57804859,31.24699775,41.34286921,40.9108897,61.86810224,6,Y,5,2,2,57,46,No,
SV17,Second,11.5,30,0.0167,-0.003336,-0.01961,0.009621,3.21E-05,0.000188668,0.000156572,11.31969168,40.11373167,30.60245282,49.44309523,36.98949148,81.13110938,6,Y,20,1,3,8,43,No,
SV18,Second,11,28,0.0177,-0.0003533,-0.002487,0.009621,3.40E-06,2.39E-05,2.05E-05,23.22364114,53.0125501,45.33549068,67.04434329,51.22618237,79.07087682,6,Y,57,2,3,25,32,No,
SV19,Second,11.5,30,0.0166,-0.0007071,-0.003697,0.009621,6.80E-06,3.56E-05,2.88E-05,13.26813475,26.28721671,21.60245058,39.56050547,61.41958154,66.44813153,6,Y,5,3,3,60,23,No,
SV20,Second,11,27,0.0106,-0.002552,-0.005068,0.009621,2.46E-05,4.88E-05,2.42E-05,23.28463059,42.3713117,42.62511221,52.47590235,54.62655552,80.74432226,6,Y,8,2,3,15,32,No,
SV21,Second,13,36,0.0225,-0.000399,-0.003389,0.009621,3.84E-06,3.26E-05,2.88E-05,6.854857903,21.20310754,22.52502538,49.54656882,30.43218726,42.79430048,6,N,,0,,,0,No,
SV22,Second,10,25,0.0111,-0.002,-0.007353,0.009621,0.000019242,7.07E-05,5.15E-05,13.71637922,32.08978368,16.43588935,32.39316931,83.4538304,99.06342715,6,N,,0,,,0,No,
SV23,Second,13,36,0.0255,-0.0009298,-0.003333,0.009621,8.95E-06,3.21E-05,2.31E-05,8.753240051,21.05104451,31.02803057,46.45487197,28.21074973,45.3150415,6,N,,0,,,0,No,
SV24,Second,11,24,0.0095,-0.002329,-0.005868,0.009621,2.24E-05,5.65E-05,3.40E-05,12.12483336,24.99935194,11.63794852,22.44321159,,,6,Y,7,1,3,12,43,No,
SV25,Second,10,24,0.0111,-0.001364,-0.004438,0.009621,1.31E-05,4.27E-05,2.96E-05,16.73322869,27.79143168,27.27665282,50.92776481,61.34634187,54.57029537,6,Y,43,3,3,45,23,No,
